Field_1|Field_2|Field3|Topic|Family|pk|DOC|Author|Availability|AvailableDate|Binding|Cover|CrossReference|Description|ExtraDescription|Format|ISBN|ISSN|KeyPhrases|ListID|Note|Price|PriceNonUS|Publisher|QuantityPrice|StandingOrderCode|StatusDate|StockNumber|Subject Bibliography|SuDocsClass|Title|Unit|UnitNonUS|Weight|YearPages|Hyperlink
||||||govtprintingoffice||0. out of print GPO|07-27-99|perfect binding|paper||Provides the latest available mineral data on the countries in Asia and the Pacific. Discusses the importance of minerals to the economies of these nations. Includes production tables and industry structure tables and information about government policies|||||Mineral Industries, Mines and Mineral Resources, Asia, Pacific||NB1273|34.00||Interior Dept., Geological Survey|discount|ZMY2|7/25/2003|024-004-02463-1|900|I 19.165:997/V.3/ASIA/PACIFIC|Minerals Yearbook, V. 3: Area Reports: International 1997, Asia and the Pacific|each||1.25|1999: 200 p.|
||||||govtprintingoffice|Jaffe, Lorna S.|0. out of print GPO|04-13-01|casebound|cloth||By Lorna S. Jaffe, et al. Gives a historical perspective on the development of the chairmanship as an institution as well as on the Chairman's an d Vice Chairman's role in the formation and implementation of our national security policy. Sheds light on ci|||0-16-050638-7||Joint Chiefs of Staff, Armed Forces, Military History, Biographies, Defense Department, Strategic Planning, National Defense||NB1283|58.00||Defense Dept., Office of the Chairman of the Joint Chiefs of Staff, Joint History Office|discount||9/22/2005|008-000-00835-3|131CN 153BO||Chairmanship of the Joint Chiefs of Staff 1949- 1999|each||3.25|2000: 297 p.; ill.|
||||||govtprintingoffice||0. superseded|02-21-01|perfect binding|paper|008-000-00896-5|NIMA Pub 160. 1st Edition. Corrected to 20 December 1997, including Notice to Mariners No. 51 of 1997. Covers the harbors, coasts, and waters of the South Atlantic Ocean and Indian Ocean. Provides information that cannot be shown graphically on nautical c|||0-16-061520-8||||Superseded by S/N 008-000-00896-5. NB1283|24.00||Defense Dept., National Imagery and Mapping Agency|discount||11/13/2002|008-000-00783-7|900|D 5.317/3:160/998|Sailing Directions (Planning Guide): South Atlantic Ocean and Indian Ocean, 1998|each||1.18|1998: 184 p.; ill.|
||||||govtprintingoffice||0. superseded|05-16-01|self cover / stitch|paper|021-288-00207-4|SB-288. Subject Bibliography 288. May 2, 2001. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 552-A|||||||Supersedes GP 3.22/2:288/2000, S/N 021-288-00005- 5. Superseded by GP 3.22/2:288/2002, S/N 021-288- 00207-4.|0.00||Government Printing Office, Superintendent of Documents|||8/6/2002|021-288-00105-1|925||Asia|each||2.00||
||||||govtprintingoffice|Hogan, David W. Jr.|1. in stock / whse and/or retail / price|04-16-08|perfect binding|paper||CMH 72-30. Provides one in a series of 40 illustrated brochures that describe the campaigns in which U.S. Army troops participated during the war. Each brochure describes the strategic setting, traces the operations of the major American units involved, a|||||World War 2|||2.75||Defense Dept., Army, Center of Military History|discount|ZZZZZ|01-20-11|008-029-00303-1|||Northern France: The U.S. Army Campaigns of World War II (Pamphlet)|each||0.12||
||||||govtprintingoffice||0. superseded|09-06-01|perfect binding|paper|008-000-00888-4|NIMA Ref. No. NMSUMV5. Contains a summary of chart corrections and navigation publication corrections originally issued in the Notices to Mariners up through No. 28 of 2001, 14 July 2001. Contains copyright material.|||0-16-066433-0||National Imagery and Mapping Agency Publication NMSUMV5s S/N, NSN 7642014008425, NSN 7644014673965 008-0, Compact Disc Read Only Memory (CD-ROM)00- 007, Electronic Products70-5., World and Ocean Basin Charts, United States Coast Pilots, Sailing Directions||System requirements, PC: 486 Processor; 16M RAM, 24M RAM for NT; 10M free disk space; Windows 95, 98, or NT 4.0. For Macintosh: Power Macintosh; Syste|63.00||Defense Dept., National Imagery and Mapping Agency|discount||9/24/2002|008-000-00859-1|029PN 060PC 314SA|D 5.315/2:2001/V.5|Summary of Corrections, 2001, V. 5: World and Ocean Basin Charts, United States Coast Pilots, Sailing Directions, Fleet Guides and Other Publications|each||4.68|2001: 1088 p.; ill. and CD-ROM in pocket|
||||||govtprintingoffice||0. out of print GPO|09-15-98|specialty item|||JEL CD-ROM. June 1998. Known as JEL. Developed by OC incorporated for the J-7, Joint Staff. Contains: Approved Joint Publication, Joint Doctrine Awareness Materials; Select Service Publications; Joint and Service Vision Documents; Training and Research Pa||multimedia|0-16-061139-3||JEL CD-ROM, Electronic Products, Compact Disc Read Only Memory (CD-ROM), Military Science, Defense Policy||System requirements: IBM compatible 486/33 PC (Pentium PC recommended); 8M RAM; 5M hard disk space; MS Windows 3.1, 95, or NT 3.5; and VGA monitor. NB|15.00||Defense Dept., Joint Staff, J-7|discount||8/18/2003|008-000-00736-5|900|D 5.21:998-1|Joint Electronic Library, 1998, June (CD-ROM)|each||0.37|1998: CD-ROM and booklet in plastic case|
||tax||||govtprintingoffice||0. out of print GPO|08-03-98|perfect binding|paper||8th edition. By Soil Survey Staff. Provides the taxonomic keys necessary for the classification of soils in a form that can be used easily in the field. Acquaints users of the taxonomic system with recent changes in the classification of soils. Includes a|||0-16-060825-2||Soil Classification, Soil Taxonomy, Soil Science, Soil Surveys, Soils||Supersedes A 57.2:K 52/996, S/N 01-000-04632- 2. NB1267|31.00||Agriculture Dept., Natural Resources Conservation Service|discount||4/26/2001|001-000-04658-6|238BW|A 57.2:K 52/998|Keys to Soil Taxonomy|each||2.06|1998: 326 p.; ill.|
treatis lalaw|||||LAprac1.jpg||Joseph, Lamonica and Tucker|Available at Claitors|||||Each instruction is concise and easy to understand, and is followed by comments to help you interpret and determine its applicability. Responsive verdicts and the statutory sources for each offense are identified. If an issue is unclear, the authors point||||||||281.00||West||||LACIVI|||LA Criminal Jury Instructions(Civil Law Treatise Series) Vol 17, 3rd edition|3||3.00|1994|
||||||govtprintingoffice||0. see special note||specialty item|||Various years. Contains data reported by facilities that manufacture, process, or use over 300 toxic chemicals. Gives information for about 18,000 facilities. Contains Hazardous Substance Factsheets providing health, safety, and ecological data. Title ava|||||Electronic Products, EPA Emergency Planning and Community Right to Know Toxic Release Inventory, Environmental Protection Agency||ELECTRONIC PRODUCT. See description.|0.00||Environmental Protection Agency, and Government Printing Office, Superintendent of Documents|||03-09-92|021-610-00012-7|900||EPA Toxic Chemical Release Inventory, 1987 - (Computer Diskettes or Magnetic Tapes)|set||2.00||
||||||govtprintingoffice||0. out of print GPO|05-26-99|perfect binding|paper||CMH 20-2-1. Covers United States Army action in Korea from the outbreak of the war to the full-scale intervention of the Chinese Communists in Nov. 1950. L.C. card 60-60043. Item 344.|||||Center of Military History Publication 20 2 1, Army History, Military History, Korean War|||48.00||Defense Dept., Army, Center of Military History|discount||11/27/2000|008-029-00237-0|098CS||United States Army in the Korean War: South to the Naktong, North to the Yalu (June-Nov. 1950) (Paperbound Edition)|each||4.00|1961: 841 p.; ill. 1999-repr.|
||||||govtprintingoffice||0. superseded|11-03-98|self cover / stitch|paper|021-221-00004-0|SB-221. Subject Bibliography 221. October 22, 1998. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item|||||||Supersedes GP 3.22/2:221/997, S/N 021-221-00712- 5. Superseded by GP 3.22/2:221/000, S/N 021-221- 00004-0.|0.00||Government Printing Office, Superintendent of Documents|||5/10/2000|021-221-00810-5|925|GP 3.22/2:221/998|Music|each||2.00|1998: 2 p.|
||||||govtprintingoffice||0. out of print GPO|03-30-00|specialty item|||NUREG-1567. Issued in looseleaf form with spine label.||looseleaf|0-16-059192-9||NUREG 1567, Radioactive Waste Disposal||NB1277|42.00||Nuclear Regulatory Commission, Office of Nuclear Material Safety and Safeguards, Spent Fuel Project Office|discount||9/1/2005|052-020-00774-8|200NH||Standard Review Plan for Spent Fuel Dry Storage Facilities: Final Report|each||2.25|2000: 404 p.; ill. looseleaf.|
||||||govtprintingoffice||0. superseded|08-04-98|self cover / stitch|paper|021-196-00003-7|SB-196. Subject Bibliography 196. July 21, 1998. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 552|||||||Supersedes GP 3.22/2:196/997, S/N 021-197-00707- 4. Superseded by GP 3.22/2:196/999, S/N 021-196- 00912-3. DSL 98-0330-P 08/11/98.|0.00||Government Printing Office, Superintendent of Documents|||4/4/2000|021-196-00807-1|925|GP 3.22/2:196/998|Elementary and Secondary Education|each||2.00|1998: 22 p.|
||||||govtprintingoffice||0. superseded||self cover / stitch|paper|021-196-00003-7|SB-196. Subject Bibliography 196. December 6, 1999. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item|||||||Supersedes GP 3.22/2:196/998, S/N 021-196-00807- 1. Superseded by GP 3.22/2:196/000, S/N 021-196- 00003-7.|0.00||Government Printing Office, Superintendent of Documents|discount||4/12/2000|021-196-00912-3|925||Elementary and Secondary Education|each||2.00|1999: 20 p.|
||||||govtprintingoffice||0. out of print GPO|02-04-97|perfect binding|paper||GC92(3)-1. 1992 Census of Governments, V. 3, Public Employment, No. 1, Employment of Major Local Governments. Provides measures of employment, gross payroll (salaries and wages), and full-time employee average earnings for selected individual local govern|||0-16-061068-0||GC92 3 1, Local Government, Government Employees||NB1258|17.00||Commerce Dept., Economics and Statistics Administration, Census Bureau, Economic Planning and Coordination Division, and Governments Division|discount||1/18/2000|003-024-08816-9|900|C 3.145/4:992/V.3/NO.1|Census of Governments, 1992, V. 3, Public Employment, No. 1, Employment of Major Local Governments|each||0.81|1997: 154 p.|
||||||govtprintingoffice||1. in stock / whse and/or retail / price|05-19-98|specialty item|||FDA Form 2626C. Issued with perforations. For use by the pharmaceutical industry. Sold in packages of 25 copies only.||folder|0-16-061421-X||FDA Form 2626C, Form 2626C, Pharmaceutical Research, Drugs, Medicine||NB1266|39.50||Health and Human Services Dept., Food and Drug Administration|discount||01-29-09|017-012-00389-3|090HH 119DB||New Drug Application: Pharmacokinetic Section (Orange Paper Folder)|package||2.43|1986: Paper binder cover.|
||||||govtprintingoffice||0. out of print GPO|11-19-98|perfect binding|paper||PIN 030567-000. Contains a complete revision incorporating all Executive Orders (1984 Manual for Courts-Martial, Changes 1-7, and 1995 and 1998 Amendments). Includes the rules governing the procedures and punishments in all courts-martial and, whenever ex|||0-16-061141-5||PIN 030567 000, Courts Martial Manual, Uniform Code of Military Justice, Rules for Courts Martial, Military Law||Supersedes S/N 008-000-00676-8. NB1269|57.00||Defense Dept., Joint Service Committee on Military Justice|discount||5/25/2000|008-000-00738-1|131EB|D 1.15:998|Manual for Courts-Martial, United States (1998 Edition)|each||2.87|1998: 864 p.|
||||||govtprintingoffice|Kaplan, S. G.|0. out of print GPO|07-24-01|paper cover / stitch|paper||NIST Special Publication 260-123. Standard Reference Materials. Item 0247.|||0-16-061735-9||NIST Special Publication 260 123, Standard Reference Materials||NB1285|7.00||Commerce Dept., Technology Administration, National Institute of Standards and Technology, Physics Laboratory, Optical Technology Division|discount||5/1/2003|003-003-03694-3|900|C 13.10:260-123|Infrared Transmittance Standards: SRMs 2053, 2054, 2055, and 2056|each||0.37|2001: 45 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|03-27-98|self cover / stitch|paper||M96(AS)-1. 1996 Annual Survey of Manufactures, Statistics for Industry Groups and Industries (Including Capital Expenditures, Inventories, and Supplemental Labor, Fuel, and Electric Energy Costs). At head of title: ASM. Presents manufacturing establishmen|||0-16-061078-8||M96 AS 1, Statistics, Manufacturing Industries||NB1265|7.00||Commerce Dept., Economics and Statistics Administration, Census Bureau, Economic Planning and Coordination Division, and Manufacturing and Construction Division|discount||8/31/2000|003-024-08828-2|004AF 146AN|C 3.24/9-6:996-2|Annual Survey of Manufactures, 1996: Statistics for Industry Groups and Industries (Including Capital Expenditures, Inventories, and Supplemental Labor, Fuel, and Electric Energy Costs)|each||0.43|1998: 71 p.|
||||||govtprintingoffice||0. superseded|09-19-01|self cover / stitch|paper|021-192-00211-5|SB-192. Subject Bibliography 192. September 5, 2001. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item|||||||Supersedes GP 3.22/2:192/000, S/N 021-192-00011- 2. Superseded by GP 3.22/2:192/002, S/N 021-192- 00211-5.|0.00||Government Printing Office, Superintendent of Documents|||11/27/2002|021-192-00109-7|925||Civil War|each||2.00|2001: 5 p.|
||||||govtprintingoffice||1. in stock / whse and/or retail / price|03-26-08|perfect binding|paper||CMH 100-2. American Forces in Action Series. Provides an account of the Army operations against a determined enemy up through the Central Pacific. a|||||Center of Military History Publication 100 2, American Forces in Action Series, World War 2|||9.50||Defense Dept., Army, Center of Military History|discount|ZZZZZ|06-10-10|008-029-00206-0|||The Capture of Makin, November 20-24, 1942 (Clothbound)|each||0.62|1946: 136 p.; ill.|
||||||govtprintingoffice|Mather, Paul D.|0. out of print GPO|02-03-95|perfect binding|paper||Concentrates on the process whereby the United States military tried to resolve each MIA (missing in action) case in Southeast Asia. The author, Lieutenant Colonel Paul D. Mather, served with the Joint Casualty Resolution Center from the time of the milit|||0-16-036391-8||MIA Story in Southeast Asia, Missing in Action, Southeast Asia, Asia, Prisoners of War, War Casualties, Military Personnel, Vietnamese Conflict||NB1246|13.00||Defense Dept., National Defense University, Institute for National Strategic Studies|discount||8/18/2003|008-020-01260-2|098GB 288FF||M.I.A.: Accounting for the Missing in Southeast Asia|each||0.87|1994: 231 p.; ill.|
||||||govtprintingoffice||0. superseded|11-04-96|perfect binding|paper|030-002-00195-1|Copyright Office Circular 92. Includes the copyright law as contained in Title 17 of the United States Code, revised to September 30, 1996; added thereto is the text of the amendatory Act of October 18, 1994. Covers such aspects of copyright as: matter an|||0-16-061820-7||Copyright Office Circular 92, Copyright, Law and Legislation, Copyright Infringement, Copyright Royalties, Intellectual Property, Authors and Authorship, Library of Congress||THIS LAW HAS BEEN AMENDED BY PUBLIC LAW 106-44. CUSTOMERS WHO PURCHASE THIS BOOK MAY ALSO WISH TO PURCHASE THE AMENDMENT FOR $1.25; S/N 869- 037-00044|10.00||Library of Congress, Copyright Office|discount||4/14/2000|030-002-00187-0|126BC|LC 3.4/2:92/996|Copyright Law of the United States of America|each||0.75|1996: 187 p.; revised ed.|
new top||||||govtprintingoffice||Available at Claitors|||||Contains detailed information on the various appropriations and funds that constitute the budget. Designed primarily for the use of the Appropriations Committee. Details the financial information on individual programs and appropriation accounts. Includes|||1-59804-643-8||||NB1283|76.00|||||02/01/2012|041-001-00691-5|||Appendix, Budget of the United States Government, Fiscal Year 2013, 2 Volumes|||5.18||
new top||||||govtprintingoffice||Available at Claitors|||||EST. DELIVERY DATE 02/01/12. Provides data on budget receipts, outlays, surpluses or deficits, Federal debt, and Federal employment over an extended time period.|||1-59804-645-4|||||50.00|||||01-06-12|041-001-00692-3|||Historical Tables, Budget of the United States Government, Fiscal Year 2013|||2.00||
top new||||||govtprintingoffice||1. in stock / whse and/or retail / price|||||Economic Report of the President Transmitted to the Congress February 2012 together with the Annual Report of the Council of Economic Advisers. Contains the Economic Report of the President and the Annual Report of the Council of Economic Advisers. Item 8|||1-59804-646-2|||||36.00|||||02/21/2012|1-59804-646-2|||Economic Report of The President, 2012|||1.18||
|newrel bestsell|||||govtprintingoffice||Available at Claitors||||||||1-59804-638-1|||||45.00|||||7/3/2007|1-59804-638-1|||Official Congressional Directory, 112th Congress (Paperbound Edition)|||2.00||
|newrel bestsell|||||govtprintingoffice||Available at Claitors||||||||1-59804-639-X|||||55.00|||||02/03/2012|1-59804-639-X|||Official Congressional Directory, 112th Congress (Clothbound Edition)|||2.00||
newrel||||||govtprintingoffice||Available at Claitors|||||Provides Treasury Decisions and Revenue Procedures.|||1-59804-648-9|||||95.00|||||02-20-12|1-59804-648-9|||Internal Revenue Cumulative Bulletin 2011-2 (July-December)|||2.00||
|newrel|||||govtprintingoffice|Social Security Administration|Available at Claitors|||||SSA 65-008. 16th edition. Summarizes information about the Social Security programs. Contains brief descriptions of related programs administered by other agencies. Created to be a readable, easy to understand reference tool for the very complex Social Se|||1-59804-627-6|||||55.00|||||1/21/2012|1-59804-627-6|||Social Security Handbook, 16th edition, 2011|||2.31||
